 
10:1	And Mordecai said, "These things have come from God. 
10:2	For I remember the dream that I had concerning these matters, and none of them has failed to be fulfilled. 
10:3	The tiny spring which became a river, and there was light and the sun and abundant water -- the river is Esther, whom the king married and made queen. 
10:4	The two dragons are Haman and myself. 
10:5	The nations are those that gathered to destroy the name of the Jews. 
10:6	And my nation, this is Israel, who cried out to God and were saved. The Lord has saved his people; the Lord has delivered us from all these evils; God has done great signs and wonders, which have not occurred among the nations. 
10:7	For this purpose he made two lots, one for the people of God and one for all the nations. 
10:8	And these two lots came to the hour and moment and day of decision before God and among all the nations. 
10:9	And God remembered his people and vindicated his inheritance. 
10:10	So they will observe these days in the month of Adar, on the fourteenth and fifteenth of that month, with an assembly and joy and gladness before God, from generation to generation forever among his people Israel." 
11:1	In the fourth year of the reign of Ptolemy and Cleopatra, Dositheus, who said that he was a priest and a Levite, and Ptolemy his son brought to Egypt the preceding Letter of Purim, which they said was genuine and had been translated by Lysimachus the son of Ptolemy, one of the residents of Jerusalem.  
11:2	In the second year of the reign of Artaxerxes the Great, on the first day of Nisan, Mordecai the son of Jair, son of Shimei, son of Kish, of the tribe of Benjamin, had a dream. 
11:3	He was a Jew, dwelling in the city of Susa, a great man, serving in the court of the king. 
11:4	He was one of the captives whom Nebuchadnezzar king of Babylon had brought from Jerusalem with Jeconiah king of Judea. And this was his dream: 
11:5	Behold, noise and confusion, thunders and earthquake, tumult upon the earth! 
11:6	And behold, two great dragons came forward, both ready to fight, and they roared terribly. 
11:7	And at their roaring every nation prepared for war, to fight against the nation of the righteous. 
11:8	And behold, a day of darkness and gloom, tribulation and distress, affliction and great tumult upon the earth! 
11:9	And the whole righteous nation was troubled; they feared the evils that threatened them, and were ready to perish. 
11:10	Then they cried to God; and from their cry, as though from a tiny spring, there came a great river, with abundant water; light came, and the sun rose, and the lowly were exalted and consumed those held in honor. 
11:12	Mordecai saw in this dream what God had determined to do, and after he awoke he had it on his mind and sought all day to understand it in every detail. 
12:1	Now Mordecai took his rest in the courtyard with Gabatha and Tharra, the two eunuchs of the king who kept watch in the courtyard. 
12:2	He overheard their conversation and inquired into their purposes, and learned that they were preparing to lay hands upon Artaxerxes the king; and he informed the king concerning them. 
12:3	Then the king examined the two eunuchs, and when they confessed they were led to execution. 
12:4	The king made a permanent record of these things, and Mordecai wrote an account of them. 
12:5	And the king ordered Mordecai to serve in the court and rewarded him for these things. 
12:6	But Haman, the son of Hammedatha, a Bougaean, was in great honor with the king, and he sought to injure Mordecai and his people because of the two eunuchs of the king. 
13:1	This is a copy of the letter: "The Great King, Artaxerxes, to the rulers of the hundred and twenty-seven provinces from India to Ethiopia and to the governors under them, writes thus: 
