Psalms of Solomon 
1:1	εβοησα προς κυριον εν τω θλιβεσθαι με εις τελος προς τον θεον εν τω επιθεσθαι αμαρτωλούς
1:2	εξαπινα ηκουσθη κραυγη πολεμου ενώπιον μου ειπα επακουσεται μου οτι επλησθην δικαιοσυνης
1:3	ελογισαμην εν καρδια μου οτι επλησθην δικαιοσυνης εν τω ευθηνησαι με και πολλην γενεσθαι εν τεκνοις
1:4	ο πλουτος αυτων διεδοθη εις πασαν την γην και η δοξα αυτων εως εσχατου της γης
1:5	υψωθησαν εως των αστρων ειπαν ου μη πεσωσιν
1:6	και εξυβρισαν εν τοις αγαθοις αυτων και ουκ ηνεγκαν
1:7	αι αμαρτιαι αυτων εν αποκρυφοις και εγω ουκ ηδειν
1:8	αι ανομιαι αυτων υπερ τα προ αυτων εθνη εβεβηλωσαν τα αγια κυριου εν βεβηλωσει
2:1	εν τω υπερηφανευεσθαι τον αμαρτωλον εν κριω κατεβαλε τειχη οχυρα και ουκ εκωλυσας
2:2	ανεβησαν επι το θυσιαστηριον σου εθνη αλλοτρια κατεπατουσαν εν υποδημασιν αυτων εν υπερηφανια
2:3	ανθ ων οι υιοι Ιερουσαλημ εμιαναν τα αγια κυριου εβεβηλουσαν τα δωρα του θεου εν ανομιαις
2:4	ενεκεν τουτων ειπεν απορριψατε αυτα μακραν απ εμου ουκ ευδοκω εν αυτοις
2:5	το καλλος της δοξης αυτης εξουθενωθη ενωπιον του θεου ητιμωθη εως εις τελος
2:6	οι υιοι και αι θυγατερες εν αιχμαλωσια πονηρα εν σφραγιδι ο τραχηλος αυτων εν επισημω εν τοις εθνεσιν
2:7	κατα τας αμαρτιας αυτων εποιησεν αυτοις οτι εγκατελιπεν αυτους εις χειρας κατισχυοντων
2:8	απεστρεψεν γαρ το προσωπον αυτου απο ελεους αυτων νεον και πρεσβυτην και τεκνα αυτων εις απαξ οτι πονηρα εποιησαν εις απαξ του μη ακουειν
2:9	και ο ουρανος εβαρυθυμησεν και η γη εβδελυξατο αυτους οτι ουκ εποιησε πας ανθρωπος επ αυτης οσα εποιησαν
2:10	και γνωσεται η γη τα κριματα σου παντα τα δικαια ο θεος
2:11	έστησαν τους υιους Ιερουσαλήμ εις εμπαιγμον αντι πορνων εν αυτη πας ο παραπορευομενος εισεπορευετο κατεναντι του ηλιου
2:12	ενεπαιζον ταις ανομιαις αυτων καθα εποιουν αυτοι απεναντι του ηλιου παρεδειγματισαν αδικιας αυτων
2:13	και θυγατερες Ιερουσαλημ βεβηλοι κατα το κριμα σου ανθ ων αυται εμιαιωσαν αυτας εν φυρμω αναμειξεως
2:14	την κοιλιαν μου και τα σπλαγχνα μου πονω επι τουτοις
2:15	εγω δικαιωσω σε ο θεος εν ευθυτητι καρδιας οτι εν τοις κριμασιν σου η δικαιοσυνη σου ο θεος
2:16	οτι απεδωκας τοις αμαρτωλοις κατα τα εργα αυτων και κατα τας αμαρτιας αυτων τας πονηρας σφοδρα
2:17	ανεκαλυψας τας αμαρτιας αυτων ινα φανη το κριμα σου εξηλειψας το μνημοσυνον αυτων απο της γης
2:18	ο θεος κριτης δικαιος και ου θαυμασει προσωπον
2:19	ωνειδισαν γαρ εθνη Ιερουσαλημ εν καταπατησει κατεσπασθη το καλλος αυτης απο θρονου δοξης
2:20	περιεζωσατο σακκον αντι ενδυματος ευπρεπειας σχοινιον περι την κεφαλην αυτης αντι στεφανου
2:21	περιειλατο μιτραν δοξης ην περιεθηκεν αυτη ο θεος εν ατιμια το καλλος αυτης απερριφη επι την γην
2:22	και εγω ειδον και εδεηθην του προσωπου κυριου και ειπον ικανωσον κυριε του βαρυνεσθαι χειρα σου επι Ιερουσαλημ εν επαγωγη εθνων
2:23	οτι ενεπαιξαν και ουκ εφεισαντο εν οργη και θυμω μετα μηνισεως και συντελεσθησονται εαν μη συ κυριε επιτιμησης αυτοις εν οργη σου
2:24	οτι ουκ εν ζηλει εποιησαν αλλ εν επιθυμια ψυχης εκχεαι την οργην αυτων εις ημας εν αρπαγματι
2:25	μη χρονισης ο θεος του αποδουναι αυτοις εις κεφαλας του ειπειν την υπερηφανιαν του δρακοντος εν ατιμια
2:26	και ουκ εχρονισα εως εδειξεν μοι ο θεος την υβριν αυτου εκκεκεντημενον επι των ορεων Αιγυπτου υπερ ελαχιστον εξουδενωμενον επι γης και θαλασσης
2:27	το σωμα αυτου διαφερομενον επι κυματων εν υβρει πολλη και ουκ ην ο θαπτων οτι εξουθενωσεν αυτον εν ατιμια
2:28	ουκ ελογισατο οτι ανθρωπος εστιν και το υστερον ουκ ελογισατο
2:29	ειπεν εγω κυριος γης και θαλασσης εσομαι και ουκ επεγνω οτι ο θεος μεγας κραταιος εν ισχυι αυτου τη μεγαλη
2:30	αυτος βασιλευς επι των ουρανων και κρινων βασιλεις και αρχας
2:31	ο ανιστων εμε εις δοξαν και κοιμιζων υπερηφανους εις απωλειαν αιωνος εν ατιμια οτι ουκ εγνωσαν αυτον
2:32	και νυν ιδετε οι μεγιστανες της γης το κριμα του κυριου οτι μεγας βασιλευς και δικαιος κρινων την υπ ουρανον
2:33	ευλογειτε τον θεον οι φοβουμενοι τον κυριον εν επιστημη οτι το ελεος κυριου επι τους φοβούμενους αυτον μετα κρίματος
2:34	του διαστειλαι ανα μεσον δίκαιου και αμαρτωλου αποδουναι αμαρτωλοις εις τον αιωνα κατα τα εργα αυτων
2:35	και ελεησαι δικαιον απο ταπεινωσεως αμαρτωλου και αποδουναι αμαρτωλω ανθ ων εποιησεν δικαιω
2:36	οτι χρηστος ο κυριος τοις επικαλουμενοις αυτον εν υπομονή ποιησαι κατα το ελεος αυτου τοις οσιοις αυτου παρεσταναι δια παντος ενωπιον αυτου εν ισχυι
2:37	ευλογητος κυριος εις τον αιωνα ενωπιον δουλων αυτου
3:1	ινα τι υπνοις ψυχη και ουκ ευλογεις τον κυριον υμνον καινον ψαλατε τω θεω τω αινετω
3:2	ψαλλε και γρηγορησον επι την γρηγορησιν αυτου οτι αγαθος ψαλμος τω θεω εξ αγαθης καρδιας
3:3	δικαιοι μνημονευουσιν δια παντος του κυριου εν εξομολογησει και δικαιωσει τα κριματα κυριου
3:4	ουκ ολιγωρησει δικαιος παιδευομενος υπο κυριου η ευδοκια αυτου δια παντος εναντι κυριου
3:5	προσεκοψεν ο δικαιος και εδικαιωσεν τον κυριον επεσεν και αποβλεπει τι ποιησει αυτω ο θεος αποσκοπευει οθεν ηξει σωτηρια αυτου
3:6	αληθεια των δικαιων παρα θεου σωτηρος αυτων ουκ αυλιζεται εν οικω δικαιου αμαρτια εφ αμαρτιαν
3:7	επισκεπτεται δια παντος τον οικον αυτου ο δικαιος του εξαραι αδικιαν εν παραπτωματι αυτου
3:8	εξιλασατο περι αγνοιας εν νηστεια και ταπεινωσει ψυχης αυτου και ο κυριος καθαριζει παν ανδρα οσιον και τον οικον αυτου
3:9	προσεκοψεν αμαρτωλος και καταραται ζωην αυτου την ημεραν γενεσεως αυτου και ωδινας μητρος
3:10	προσεθηκεν αμαρτιας εφ αμαρτιας τη ζωη αυτου επεσεν οτι πονηρον το πτωμα αυτου και ουκ αναστησεται
3:11	η απωλεια του αμαρτωλου εις τον αιωνα και ου μνησθησεται οταν επισκεπτηται δικαιους
3:12	αυτη η μερις των αμαρτωλων εις τον αιωνα οι δε φοβουμενοι τον κυριον αναστησονται εις ζωην αιωνιον και η ζωη αυτων εν φωτι κυριου και ουκ εκλειψει ετι
