
Matthew 
1:1	A roll of the birth of Jesus Christ, son of David, son of Abraham. 
1:2	Abraham begat Isaac, and Isaac begat Jacob, and Jacob begat Judah and his brethren, 
1:3	and Judah begat Pharez and Zarah of Tamar, and Pharez begat Hezron, and Hezron begat Ram, 
1:4	and Ram begat Amminadab, and Amminadab begat Nahshon, and Nahshon begat Salmon, 
1:5	and Salmon begat Boaz of Rahab, and Boaz begat Obed of Ruth, and Obed begat Jesse, 
1:6	and Jesse begat David the king. And David the king begat Solomon, of her who had been Uriah's, 
1:7	and Solomon begat Rehoboam, and Rehoboam begat Abijah, and Abijah begat Asa, 
1:8	and Asa begat Jehoshaphat, and Jehoshaphat begat Joram, and Joram begat Uzziah, 
1:9	and Uzziah begat Jotham, and Jotham begat Ahaz, and Ahaz begat Hezekiah, 
1:10	and Hezekiah begat Manasseh, and Manasseh begat Amon, and Amon begat Josiah, 
1:11	and Josiah begat Jeconiah and his brethren, at the Babylonian removal. 
1:12	And after the Babylonian removal, Jeconiah begat Shealtiel, and Shealtiel begat Zerubbabel, 
1:13	and Zerubbabel begat Abiud, and Abiud begat Eliakim, and Eliakim begat Azor, 
1:14	and Azor begat Sadok, and Sadok begat Achim, and Achim begat Eliud, 
1:15	and Eliud begat Eleazar, and Eleazar begat Matthan, and Matthan begat Jacob, 
1:16	and Jacob begat Joseph, the husband of Mary, of whom was begotten Jesus, who is named Christ. 
1:17	All the generations, therefore, from Abraham unto David are fourteen generations, and from David unto the Babylonian removal fourteen generations, and from the Babylonian removal unto the Christ, fourteen generations. 
1:18	And of Jesus Christ, the birth was thus: For his mother Mary having been betrothed to Joseph, before their coming together she was found to have conceived from the Holy Spirit, 
1:19	and Joseph her husband being righteous, and not willing to make her an example, did wish privately to send her away. 
1:20	And on his thinking of these things, lo, a messenger of the Lord in a dream appeared to him, saying, 'Joseph, son of David, thou may not fear to receive Mary thy wife, for that which in her was begotten is of the Holy Spirit, 
1:21	and she shall bring forth a son, and thou shalt call his name Jesus, for he shall save his people from their sins.' 
1:22	And all this hath come to pass, that it may be fulfilled that was spoken by the Lord through the prophet, saying, 
1:23	'Lo, the virgin shall conceive, and she shall bring forth a son, and they shall call his name Emmanuel,' which is, being interpreted 'With us he is God.' 
1:24	And Joseph, having risen from the sleep, did as the messenger of the Lord directed him, and received his wife, 
1:25	and did not know her till she brought forth her son -- the first-born, and he called his name Jesus. 
2:1	And Jesus having been born in Beth-Lehem of Judea, in the days of Herod the king, lo, mages from the east came to Jerusalem, 
2:2	saying, 'Where is he who was born king of the Jews? for we saw his star in the east, and we came to bow to him.' 
2:3	And Herod the king having heard, was stirred, and all Jerusalem with him, 
2:4	and having gathered all the chief priests and scribes of the people, he was inquiring from them where the Christ is born. 
2:5	And they said to him, 'In Beth-Lehem of Judea, for thus it hath been written through the prophet, 
2:6	And thou, Beth-Lehem, the land of Judah, thou art by no means the least among the leaders of Judah, for out of thee shall come one leading, who shall feed My people Israel.' 
2:7	Then Herod, privately having called the mages, did inquire exactly from them the time of the appearing star, 
2:8	and having sent them to Beth-Lehem, he said, 'Having gone -- inquire ye exactly for the child, and whenever ye may have found, bring me back word, that I also having come may bow to him.' 
2:9	And they, having heard the king, departed, and lo, the star, that they did see in the east, did go before them, till, having come, it stood over where the child was. 
2:10	And having seen the star, they rejoiced with exceeding great joy, 
2:11	and having come to the house, they found the child with Mary his mother, and having fallen down they bowed to him, and having opened their treasures, they presented to him gifts, gold, and frankincense, and myrrh, 
2:12	and having been divinely warned in a dream not to turn back unto Herod, through another way they withdrew to their own region. 
2:13	And on their having withdrawn, lo, a messenger of the Lord doth appear in a dream to Joseph, saying, 'Having risen, take the child and his mother, and flee to Egypt, and be thou there till I may speak to thee, for Herod is about to seek the child to destroy him.' 
2:14	And he, having risen, took the child and his mother by night, and withdrew to Egypt, 
2:15	and he was there till the death of Herod, that it might be fulfilled that was spoken by the Lord through the prophet, saying, 'Out of Egypt I did call My Son.' 
2:16	Then Herod, having seen that he was deceived by the mages, was very wroth, and having sent forth, he slew all the male children in Beth-Lehem, and in all its borders, from two years and under, according to the time that he inquired exactly from the mages. 
2:17	Then was fulfilled that which was spoken by Jeremiah the prophet, saying, 
2:18	'A voice in Ramah was heard -- lamentation and weeping and much mourning -- Rachel weeping for her children, and she would not be comforted because they are not.' 
2:19	And Herod having died, lo, a messenger of the Lord in a dream doth appear to Joseph in Egypt, 
2:20	saying, 'Having risen, take the child and his mother, and be going to the land of Israel, for they have died -- those seeking the life of the child.' 
2:21	And he, having risen, took the child and his mother, and came to the land of Israel, 
2:22	and having heard that Archelaus doth reign over Judea instead of Herod his father, he was afraid to go thither, and having been divinely warned in a dream, he withdrew to the parts of Galilee, 
2:23	and coming, he dwelt in a city named Nazareth, that it might be fulfilled that was spoken through the prophets, that 'A Nazarene he shall be called.' 
3:1	And in those days cometh John the Baptist, proclaiming in the wilderness of Judea, 
3:2	and saying, 'Reform, for come nigh hath the reign of the heavens,' 
3:3	for this is he who was spoken of by Isaiah the prophet, saying, 'A voice of one crying in the wilderness, Prepare ye the way of the Lord, straight make ye His paths.' 
3:4	And this John had his clothing of camel's hair, and a girdle of skin round his loins, and his nourishment was locusts and honey of the field. 
3:5	Then were going forth unto him Jerusalem, and all Judea, and all the region round about the Jordan, 
3:6	and they were baptized in the Jordan by him, confessing their sins. 
3:7	And having seen many of the Pharisees and Sadducees coming about his baptism, he said to them, 'Brood of vipers! who did shew you to flee from the coming wrath? 
3:8	bear, therefore, fruits worthy of the reformation, 
3:9	and do not think to say in yourselves, A father we have -- Abraham, for I say to you, that God is able out of these stones to raise children to Abraham, 
3:10	and now also, the axe unto the root of the trees is laid, every tree therefore not bearing good fruit is hewn down, and to fire is cast. 
3:11	'I indeed do baptize you with water to reformation, but he who after me is coming is mightier than I, of whom I am not worthy to bear the sandals, he shall baptize you with the Holy Spirit and with fire, 
3:12	whose fan is in his hand, and he will thoroughly cleanse his floor, and will gather his wheat to the storehouse, but the chaff he will burn with fire unquenchable.' 
3:13	Then cometh Jesus from Galilee upon the Jordan, unto John to be baptized by him, 
3:14	but John was forbidding him, saying, 'I have need by thee to be baptized -- and thou dost come unto me!' 
3:15	But Jesus answering said to him, 'Suffer now, for thus it is becoming to us to fulfill all righteousness,' then he doth suffer him. 
3:16	And having been baptized, Jesus went up immediately from the water, and lo, opened to him were the heavens, and he saw the Spirit of God descending as a dove, and coming upon him, 
3:17	and lo, a voice out of the heavens, saying, 'This is My Son -- the Beloved, in whom I did delight.' 
4:1	Then Jesus was led up to the wilderness by the Spirit, to be tempted by the Devil, 
4:2	and having fasted forty days and forty nights, afterwards he did hunger. 
4:3	And the Tempter having come to him said, 'If Son thou art of God -- speak that these stones may become loaves.' 
4:4	But he answering said, 'It hath been written, Not upon bread alone doth man live, but upon every word coming forth from the mouth of God.' 
